Year,District,Fertilizer CONSUMPTION (tons)
2003,Raigarh,25036
2004,Raigarh,31410
2005,Raigarh,35393
2006,Raigarh,33680
2007,Raigarh,35216
2008,Raigarh,45018
2009,Raigarh,48632
2010,Raigarh,42601
2011,Raigarh,46340
2012,Raigarh,38522
2013,Raigarh,39484
2014,Raigarh,43690
2015,Raigarh,49091
2016,Raigarh,50048
2017,Raigarh,48609
1966,Surguja,94
1967,Surguja,119
1968,Surguja,360
1969,Surguja,380
1970,Surguja,416
1971,Surguja,805
1972,Surguja,1261
1973,Surguja,1394
1974,Surguja,971
1975,Surguja,1356
1976,Surguja,1479
1977,Surguja,1589
1978,Surguja,1427
1979,Surguja,1037
1980,Surguja,1840
1981,Surguja,1900
1982,Surguja,1835
1983,Surguja,2745
1984,Surguja,3559
1985,Surguja,4803
1986,Surguja,5186
1987,Surguja,4708
1988,Surguja,7312
1989,Surguja,7918
1990,Surguja,7506
1991,Surguja,8524
1992,Surguja,7092
1993,Surguja,6651
1994,Surguja,9369
1995,Surguja,9369
1996,Surguja,9369
1997,Surguja,9931
1998,Surguja,11278
1999,Surguja,12138
2000,Surguja,16140
2001,Surguja,17068
2002,Surguja,15941
2003,Surguja,15758
2004,Surguja,29229
2005,Surguja,23402
2006,Surguja,19791
2007,Surguja,24885
2008,Surguja,30798
2009,Surguja,35550
2010,Surguja,28120
2011,Surguja,26273
2012,Surguja,35338
2013,Surguja,39824
2014,Surguja,39193
2015,Surguja,48058
2016,Surguja,60023
2017,Surguja,37455
1966,Jabalpur,267
1967,Jabalpur,225
1968,Jabalpur,618
1969,Jabalpur,503
1970,Jabalpur,835
1971,Jabalpur,1659
1972,Jabalpur,2737
1973,Jabalpur,3610
1974,Jabalpur,3846
1975,Jabalpur,3509
1976,Jabalpur,4238
1977,Jabalpur,5625
1978,Jabalpur,4775
1979,Jabalpur,1544
1980,Jabalpur,3864
1981,Jabalpur,4074
1982,Jabalpur,5788
1983,Jabalpur,7975
1984,Jabalpur,8345
1985,Jabalpur,11290
1986,Jabalpur,10012
1987,Jabalpur,11448
1988,Jabalpur,17688
1989,Jabalpur,22165
1990,Jabalpur,18087
1991,Jabalpur,19163
1992,Jabalpur,20371
1993,Jabalpur,24077
1994,Jabalpur,23604
1995,Jabalpur,23604
1996,Jabalpur,23604
1997,Jabalpur,25965
1998,Jabalpur,27636
1999,Jabalpur,25017
2000,Jabalpur,22161
2001,Jabalpur,25573
2002,Jabalpur,29838
2003,Jabalpur,35899
2004,Jabalpur,38487
2005,Jabalpur,33716
2006,Jabalpur,45907
2007,Jabalpur,46771
2008,Jabalpur,59556
2009,Jabalpur,67652
2010,Jabalpur,77371
2011,Jabalpur,70664
2012,Jabalpur,81062
2013,Jabalpur,81027
2014,Jabalpur,70420
2015,Jabalpur,82342
2016,Jabalpur,97724
2017,Jabalpur,95146
1966,Balaghat,623
1967,Balaghat,972
1968,Balaghat,561
1969,Balaghat,1563
1970,Balaghat,1705
1971,Balaghat,2428
1972,Balaghat,2538
1973,Balaghat,2277
1974,Balaghat,893
1975,Balaghat,1559
1976,Balaghat,1201
1977,Balaghat,2211
1978,Balaghat,2384
1979,Balaghat,1685
1980,Balaghat,2306
1981,Balaghat,3652
1982,Balaghat,3981
1983,Balaghat,5325
1984,Balaghat,6990
1985,Balaghat,6300
1986,Balaghat,8034
1987,Balaghat,4476
1988,Balaghat,8484
1989,Balaghat,9177
1990,Balaghat,8101
1991,Balaghat,11323
1992,Balaghat,11798
1993,Balaghat,9830
1994,Balaghat,10943
1995,Balaghat,10943
1996,Balaghat,10943
1997,Balaghat,12512
1998,Balaghat,9339
1999,Balaghat,11252
2000,Balaghat,12727
2001,Balaghat,8963
2002,Balaghat,12510
2003,Balaghat,16141
2004,Balaghat,13979
2005,Balaghat,17901
2006,Balaghat,17989
2007,Balaghat,20817
2008,Balaghat,22940
2009,Balaghat,24679
2010,Balaghat,26137
2011,Balaghat,30460
2012,Balaghat,25264
2013,Balaghat,29109
2014,Balaghat,26370
2015,Balaghat,33252
2016,Balaghat,24965
2017,Balaghat,29563
1966,Chhindwara,366
1967,Chhindwara,374
1968,Chhindwara,561
1969,Chhindwara,772
1970,Chhindwara,1112
1971,Chhindwara,1575
1972,Chhindwara,2022
1973,Chhindwara,2173
1974,Chhindwara,1786
1975,Chhindwara,2083
1976,Chhindwara,1825
1977,Chhindwara,2384
1978,Chhindwara,2379
1979,Chhindwara,3039
1980,Chhindwara,6487
1981,Chhindwara,4827
1982,Chhindwara,4237
1983,Chhindwara,5937
1984,Chhindwara,7394
1985,Chhindwara,7269
1986,Chhindwara,9611
1987,Chhindwara,7908
1988,Chhindwara,11401
1989,Chhindwara,11922
1990,Chhindwara,11015
1991,Chhindwara,14584
1992,Chhindwara,13787
1993,Chhindwara,12582
1994,Chhindwara,16151
1995,Chhindwara,16151
1996,Chhindwara,16151
1997,Chhindwara,18923
1998,Chhindwara,13441
1999,Chhindwara,18859
2000,Chhindwara,17606
2001,Chhindwara,18437
2002,Chhindwara,20862
2003,Chhindwara,24186
2004,Chhindwara,22033
2005,Chhindwara,26055
2006,Chhindwara,30319
2007,Chhindwara,31991
2008,Chhindwara,30002
2009,Chhindwara,44466
2010,Chhindwara,48198
2011,Chhindwara,50369
2012,Chhindwara,52373
2013,Chhindwara,56773
2014,Chhindwara,57531
2015,Chhindwara,69205
2016,Chhindwara,85396
2017,Chhindwara,84144
1966,Narsinghpur,151
1967,Narsinghpur,345
1968,Narsinghpur,331
1969,Narsinghpur,423
1970,Narsinghpur,967
1971,Narsinghpur,1846
1972,Narsinghpur,2163
1973,Narsinghpur,2555
1974,Narsinghpur,2679
1975,Narsinghpur,2303
1976,Narsinghpur,3207
1977,Narsinghpur,2479
1978,Narsinghpur,2264
1979,Narsinghpur,2094
1980,Narsinghpur,2501
1981,Narsinghpur,2763
1982,Narsinghpur,2971
1983,Narsinghpur,4195
1984,Narsinghpur,5130
1985,Narsinghpur,5267
1986,Narsinghpur,6966
1987,Narsinghpur,5396
1988,Narsinghpur,8298
1989,Narsinghpur,9329
1990,Narsinghpur,15034
1991,Narsinghpur,14642
1992,Narsinghpur,11014
1993,Narsinghpur,12990
1994,Narsinghpur,14042
1995,Narsinghpur,14042
1996,Narsinghpur,14042
1997,Narsinghpur,14293
1998,Narsinghpur,13426
1999,Narsinghpur,13706
2000,Narsinghpur,13994
2001,Narsinghpur,14887
2002,Narsinghpur,14820
2003,Narsinghpur,13318
2004,Narsinghpur,15191
2005,Narsinghpur,16031
2006,Narsinghpur,20692
2007,Narsinghpur,16377
2008,Narsinghpur,20656
2009,Narsinghpur,23082
2010,Narsinghpur,25240
2011,Narsinghpur,28902
2012,Narsinghpur,32528
2013,Narsinghpur,23679
2014,Narsinghpur,28145
2015,Narsinghpur,36353
2016,Narsinghpur,30501
2017,Narsinghpur,34097
1966,Seoni / Shivani,171
1967,Seoni / Shivani,162
1968,Seoni / Shivani,162
1969,Seoni / Shivani,205
1970,Seoni / Shivani,335
1971,Seoni / Shivani,507
1972,Seoni / Shivani,621
1973,Seoni / Shivani,773
1974,Seoni / Shivani,615
1975,Seoni / Shivani,664
1976,Seoni / Shivani,696
1977,Seoni / Shivani,784
1978,Seoni / Shivani,611
1979,Seoni / Shivani,508
1980,Seoni / Shivani,641
1981,Seoni / Shivani,740
1982,Seoni / Shivani,677
1983,Seoni / Shivani,885
1984,Seoni / Shivani,1341
1985,Seoni / Shivani,1666
1986,Seoni / Shivani,1552
1987,Seoni / Shivani,1963
1988,Seoni / Shivani,2920
1989,Seoni / Shivani,3676
1990,Seoni / Shivani,3078
1991,Seoni / Shivani,4491
1992,Seoni / Shivani,5483
1993,Seoni / Shivani,4028
1994,Seoni / Shivani,4292
1995,Seoni / Shivani,4292
1996,Seoni / Shivani,4292
1997,Seoni / Shivani,7007
1998,Seoni / Shivani,6227
1999,Seoni / Shivani,6664
2000,Seoni / Shivani,6499
2001,Seoni / Shivani,6797
2002,Seoni / Shivani,8497
2003,Seoni / Shivani,9174
2004,Seoni / Shivani,9298
2005,Seoni / Shivani,11016
2006,Seoni / Shivani,12210
