Year,District,Fertilizer CONSUMPTION (tons)
1972,Uttara Kannada,1451
1973,Uttara Kannada,1165
1974,Uttara Kannada,3149
1975,Uttara Kannada,1172
1976,Uttara Kannada,1699
1977,Uttara Kannada,1449
1978,Uttara Kannada,1974
1979,Uttara Kannada,2165
1980,Uttara Kannada,2643
1981,Uttara Kannada,2308
1982,Uttara Kannada,3951
1983,Uttara Kannada,4673
1984,Uttara Kannada,3625
1985,Uttara Kannada,3744
1986,Uttara Kannada,4396
1987,Uttara Kannada,3623
1988,Uttara Kannada,27291
1989,Uttara Kannada,7705
1990,Uttara Kannada,6489
1991,Uttara Kannada,8007
1992,Uttara Kannada,6398
1993,Uttara Kannada,4765
1994,Uttara Kannada,5246
1995,Uttara Kannada,7658
1996,Uttara Kannada,4533
1997,Uttara Kannada,7654
1998,Uttara Kannada,8788
1999,Uttara Kannada,8644
2000,Uttara Kannada,9803
2001,Uttara Kannada,8642
2002,Uttara Kannada,6939
2003,Uttara Kannada,7676
2004,Uttara Kannada,10394
2005,Uttara Kannada,13000
2006,Uttara Kannada,13811
2007,Uttara Kannada,12765
2008,Uttara Kannada,19189
2009,Uttara Kannada,19122
2010,Uttara Kannada,17107
2011,Uttara Kannada,16139
2012,Uttara Kannada,10973
2013,Uttara Kannada,12719
2014,Uttara Kannada,15392
2015,Uttara Kannada,17949
2016,Uttara Kannada,15316
2017,Uttara Kannada,16676
1966,Kodagu / Coorg,605
1967,Kodagu / Coorg,512
1968,Kodagu / Coorg,1393
1969,Kodagu / Coorg,1355
1970,Kodagu / Coorg,2743
1971,Kodagu / Coorg,3899
1972,Kodagu / Coorg,3343
1973,Kodagu / Coorg,1981
1974,Kodagu / Coorg,3958
1975,Kodagu / Coorg,1975
1976,Kodagu / Coorg,3196
1977,Kodagu / Coorg,4360
1978,Kodagu / Coorg,7920
1979,Kodagu / Coorg,10799
1980,Kodagu / Coorg,10255
1981,Kodagu / Coorg,8581
1982,Kodagu / Coorg,14455
1983,Kodagu / Coorg,9865
1984,Kodagu / Coorg,14729
1985,Kodagu / Coorg,14873
1986,Kodagu / Coorg,16491
1987,Kodagu / Coorg,14345
1988,Kodagu / Coorg,21370
1989,Kodagu / Coorg,19814
1990,Kodagu / Coorg,23246
1991,Kodagu / Coorg,22915
1992,Kodagu / Coorg,16550
1993,Kodagu / Coorg,18020
1994,Kodagu / Coorg,21942
1995,Kodagu / Coorg,30270
1996,Kodagu / Coorg,20940
1997,Kodagu / Coorg,36479
1998,Kodagu / Coorg,30085
1999,Kodagu / Coorg,34607
2000,Kodagu / Coorg,35523
2001,Kodagu / Coorg,24901
2002,Kodagu / Coorg,28503
2003,Kodagu / Coorg,22435
2004,Kodagu / Coorg,30736
2005,Kodagu / Coorg,34372
2006,Kodagu / Coorg,36215
2007,Kodagu / Coorg,38080
2008,Kodagu / Coorg,42292
2009,Kodagu / Coorg,53325
2010,Kodagu / Coorg,52137
2011,Kodagu / Coorg,56673
2012,Kodagu / Coorg,34033
2013,Kodagu / Coorg,42018
2014,Kodagu / Coorg,45367
2015,Kodagu / Coorg,53005
2016,Kodagu / Coorg,40947
2017,Kodagu / Coorg,45190
1966,Chengalpattu MGR / Kanchipuram,13525
1967,Chengalpattu MGR / Kanchipuram,9861
1968,Chengalpattu MGR / Kanchipuram,13791
1969,Chengalpattu MGR / Kanchipuram,21504
1970,Chengalpattu MGR / Kanchipuram,29115
1971,Chengalpattu MGR / Kanchipuram,22902
1972,Chengalpattu MGR / Kanchipuram,28529
1973,Chengalpattu MGR / Kanchipuram,27310
1974,Chengalpattu MGR / Kanchipuram,19552
1975,Chengalpattu MGR / Kanchipuram,27118
1976,Chengalpattu MGR / Kanchipuram,36473
1977,Chengalpattu MGR / Kanchipuram,34331
1978,Chengalpattu MGR / Kanchipuram,47854
1979,Chengalpattu MGR / Kanchipuram,60327
1980,Chengalpattu MGR / Kanchipuram,46969
1981,Chengalpattu MGR / Kanchipuram,49612
1982,Chengalpattu MGR / Kanchipuram,35973
1983,Chengalpattu MGR / Kanchipuram,57794
1984,Chengalpattu MGR / Kanchipuram,69299
1985,Chengalpattu MGR / Kanchipuram,67372
1986,Chengalpattu MGR / Kanchipuram,56700
1987,Chengalpattu MGR / Kanchipuram,67944
1988,Chengalpattu MGR / Kanchipuram,56938
1989,Chengalpattu MGR / Kanchipuram,58489
1990,Chengalpattu MGR / Kanchipuram,67111
1991,Chengalpattu MGR / Kanchipuram,60409
1992,Chengalpattu MGR / Kanchipuram,61683
1993,Chengalpattu MGR / Kanchipuram,60844
1994,Chengalpattu MGR / Kanchipuram,68529
1995,Chengalpattu MGR / Kanchipuram,59480
1996,Chengalpattu MGR / Kanchipuram,57923
1997,Chengalpattu MGR / Kanchipuram,65015
1998,Chengalpattu MGR / Kanchipuram,67027
1999,Chengalpattu MGR / Kanchipuram,78252
2000,Chengalpattu MGR / Kanchipuram,80638
2001,Chengalpattu MGR / Kanchipuram,73066
2002,Chengalpattu MGR / Kanchipuram,55617
2003,Chengalpattu MGR / Kanchipuram,56902
2004,Chengalpattu MGR / Kanchipuram,80701
2005,Chengalpattu MGR / Kanchipuram,88407
2006,Chengalpattu MGR / Kanchipuram,76699
2007,Chengalpattu MGR / Kanchipuram,79185
2008,Chengalpattu MGR / Kanchipuram,80057
2009,Chengalpattu MGR / Kanchipuram,74272
2010,Chengalpattu MGR / Kanchipuram,83485
2011,Chengalpattu MGR / Kanchipuram,69113
2012,Chengalpattu MGR / Kanchipuram,63749
2013,Chengalpattu MGR / Kanchipuram,65711
2014,Chengalpattu MGR / Kanchipuram,63754
2015,Chengalpattu MGR / Kanchipuram,69525
2016,Chengalpattu MGR / Kanchipuram,66567
2017,Chengalpattu MGR / Kanchipuram,72576
1966,South Arcot / Cuddalore,16829
1967,South Arcot / Cuddalore,15669
1968,South Arcot / Cuddalore,26094
1969,South Arcot / Cuddalore,35061
1970,South Arcot / Cuddalore,36254
1971,South Arcot / Cuddalore,37461
1972,South Arcot / Cuddalore,41991
1973,South Arcot / Cuddalore,29909
1974,South Arcot / Cuddalore,30963
1975,South Arcot / Cuddalore,35841
1976,South Arcot / Cuddalore,34405
1977,South Arcot / Cuddalore,49793
1978,South Arcot / Cuddalore,51650
1979,South Arcot / Cuddalore,57824
1980,South Arcot / Cuddalore,57236
1981,South Arcot / Cuddalore,60718
1982,South Arcot / Cuddalore,39036
1983,South Arcot / Cuddalore,63895
1984,South Arcot / Cuddalore,73419
1985,South Arcot / Cuddalore,82245
1986,South Arcot / Cuddalore,77165
1987,South Arcot / Cuddalore,75608
1988,South Arcot / Cuddalore,84466
1989,South Arcot / Cuddalore,81214
1990,South Arcot / Cuddalore,88705
1991,South Arcot / Cuddalore,82157
1992,South Arcot / Cuddalore,90308
1993,South Arcot / Cuddalore,88792
1994,South Arcot / Cuddalore,106475
1995,South Arcot / Cuddalore,84832
1996,South Arcot / Cuddalore,104122
1997,South Arcot / Cuddalore,104817
1998,South Arcot / Cuddalore,106333
1999,South Arcot / Cuddalore,112536
2000,South Arcot / Cuddalore,130944
2001,South Arcot / Cuddalore,115851
2002,South Arcot / Cuddalore,84206
2003,South Arcot / Cuddalore,93903
2004,South Arcot / Cuddalore,124904
2005,South Arcot / Cuddalore,143963
2006,South Arcot / Cuddalore,134853
2007,South Arcot / Cuddalore,101257
2008,South Arcot / Cuddalore,125976
2009,South Arcot / Cuddalore,136533
2010,South Arcot / Cuddalore,149085
2011,South Arcot / Cuddalore,164276
2012,South Arcot / Cuddalore,143735
2013,South Arcot / Cuddalore,137798
2014,South Arcot / Cuddalore,154919
2015,South Arcot / Cuddalore,167461
2016,South Arcot / Cuddalore,138614
2017,South Arcot / Cuddalore,145401
1966,North Arcot / Vellore,13322
1967,North Arcot / Vellore,12433
1968,North Arcot / Vellore,14287
1969,North Arcot / Vellore,24733
1970,North Arcot / Vellore,25999
1971,North Arcot / Vellore,25475
1972,North Arcot / Vellore,29013
1973,North Arcot / Vellore,43267
1974,North Arcot / Vellore,21930
1975,North Arcot / Vellore,23280
1976,North Arcot / Vellore,27683
1977,North Arcot / Vellore,43418
1978,North Arcot / Vellore,49419
1979,North Arcot / Vellore,48110
1980,North Arcot / Vellore,44440
1981,North Arcot / Vellore,40053
1982,North Arcot / Vellore,29784
1983,North Arcot / Vellore,47993
1984,North Arcot / Vellore,64472
1985,North Arcot / Vellore,71395
1986,North Arcot / Vellore,60387
1987,North Arcot / Vellore,53871
1988,North Arcot / Vellore,65834
1989,North Arcot / Vellore,65158
1990,North Arcot / Vellore,67171
1991,North Arcot / Vellore,73676
1992,North Arcot / Vellore,67377
1993,North Arcot / Vellore,71267
1994,North Arcot / Vellore,87921
1995,North Arcot / Vellore,73576
1996,North Arcot / Vellore,84653
1997,North Arcot / Vellore,96474
1998,North Arcot / Vellore,89107
1999,North Arcot / Vellore,94469
2000,North Arcot / Vellore,86051
2001,North Arcot / Vellore,93532
2002,North Arcot / Vellore,58572
2003,North Arcot / Vellore,64728
2004,North Arcot / Vellore,81617
2005,North Arcot / Vellore,95512
2006,North Arcot / Vellore,104515
2007,North Arcot / Vellore,110065
2008,North Arcot / Vellore,125016
2009,North Arcot / Vellore,119083
2010,North Arcot / Vellore,126465
2011,North Arcot / Vellore,134032
2012,North Arcot / Vellore,117581
2013,North Arcot / Vellore,104059
2014,North Arcot / Vellore,96950
2015,North Arcot / Vellore,126056
2016,North Arcot / Vellore,96040
2017,North Arcot / Vellore,109854
1966,Salem,11728
1967,Salem,12154
1968,Salem,14013
1969,Salem,13052
1970,Salem,17571
1971,Salem,25074
1972,Salem,28405
1973,Salem,29260
1974,Salem,20944
1975,Salem,14752
1976,Salem,13384
1977,Salem,22006
1978,Salem,31398
1979,Salem,35078
1980,Salem,34496
1981,Salem,32814
1982,Salem,30122
1983,Salem,46762
1984,Salem,47635
1985,Salem,42954
1986,Salem,45347
1987,Salem,59867
1988,Salem,66670
1989,Salem,63922
1990,Salem,58418
1991,Salem,68512
1992,Salem,69151
1993,Salem,68073
1994,Salem,77980
1995,Salem,66672
1996,Salem,73189
1997,Salem,89275
1998,Salem,87785
1999,Salem,99705
2000,Salem,96454
2001,Salem,91675
2002,Salem,63014
2003,Salem,60793
2004,Salem,73577
2005,Salem,84707
2006,Salem,106392
2007,Salem,107390
2008,Salem,132322
2009,Salem,129435
2010,Salem,145666
2011,Salem,150354
2012,Salem,108498
2013,Salem,93521
2014,Salem,111803
2015,Salem,125206
2016,Salem,91776
2017,Salem,100544
1966,Coimbatore,25320
1967,Coimbatore,27172
1968,Coimbatore,24567
1969,Coimbatore,25868
1970,Coimbatore,45341
1971,Coimbatore,39123
1972,Coimbatore,42046
1973,Coimbatore,43908
1974,Coimbatore,30915
1975,Coimbatore,46084
1976,Coimbatore,46933
1977,Coimbatore,72897
1978,Coimbatore,85596
1979,Coimbatore,93028
1980,Coimbatore,90218
1981,Coimbatore,74658
1982,Coimbatore,74979
1983,Coimbatore,83636
1984,Coimbatore,105060
1985,Coimbatore,90668
1986,Coimbatore,100533
1987,Coimbatore,93524
1988,Coimbatore,109719
1989,Coimbatore,111127
1990,Coimbatore,85923
1991,Coimbatore,81748
1992,Coimbatore,75533
1993,Coimbatore,72549
1994,Coimbatore,78819
1995,Coimbatore,65743
1996,Coimbatore,76706
1997,Coimbatore,106899
1998,Coimbatore,114287
1999,Coimbatore,119259
2000,Coimbatore,82512
2001,Coimbatore,91290
2002,Coimbatore,83711
2003,Coimbatore,84644
2004,Coimbatore,110445
2005,Coimbatore,127594
2006,Coimbatore,126714
2007,Coimbatore,124415
2008,Coimbatore,117717
2009,Coimbatore,112897
2010,Coimbatore,117874
2011,Coimbatore,116202
2012,Coimbatore,81127
2013,Coimbatore,74227
2014,Coimbatore,91935
2015,Coimbatore,98767
2016,Coimbatore,74969
2017,Coimbatore,61582
1966,Tiruchirapalli / Trichy,18238
1967,Tiruchirapalli / Trichy,14656
1968,Tiruchirapalli / Trichy,19978
1969,Tiruchirapalli / Trichy,22463
1970,Tiruchirapalli / Trichy,33701
1971,Tiruchirapalli / Trichy,40145
1972,Tiruchirapalli / Trichy,45863
1973,Tiruchirapalli / Trichy,47226
1974,Tiruchirapalli / Trichy,33803
1975,Tiruchirapalli / Trichy,33885
1976,Tiruchirapalli / Trichy,29952
1977,Tiruchirapalli / Trichy,48392
1978,Tiruchirapalli / Trichy,59312
1979,Tiruchirapalli / Trichy,66394
1980,Tiruchirapalli / Trichy,55084
1981,Tiruchirapalli / Trichy,58058
1982,Tiruchirapalli / Trichy,51224
1983,Tiruchirapalli / Trichy,70842
1984,Tiruchirapalli / Trichy,78114
1985,Tiruchirapalli / Trichy,65146
1986,Tiruchirapalli / Trichy,77884
1987,Tiruchirapalli / Trichy,76326
1988,Tiruchirapalli / Trichy,79487
1989,Tiruchirapalli / Trichy,82068
1990,Tiruchirapalli / Trichy,111062
1991,Tiruchirapalli / Trichy,122179
1992,Tiruchirapalli / Trichy,106714
1993,Tiruchirapalli / Trichy,110093
1994,Tiruchirapalli / Trichy,111474
1995,Tiruchirapalli / Trichy,98597
1996,Tiruchirapalli / Trichy,108375
1997,Tiruchirapalli / Trichy,142391
1998,Tiruchirapalli / Trichy,139699
1999,Tiruchirapalli / Trichy,158281
2000,Tiruchirapalli / Trichy,134426
2001,Tiruchirapalli / Trichy,140592
2002,Tiruchirapalli / Trichy,103132
2003,Tiruchirapalli / Trichy,96314
2004,Tiruchirapalli / Trichy,133094
2005,Tiruchirapalli / Trichy,152717
2006,Tiruchirapalli / Trichy,191488
2007,Tiruchirapalli / Trichy,211786
2008,Tiruchirapalli / Trichy,218097
2009,Tiruchirapalli / Trichy,195752
2010,Tiruchirapalli / Trichy,190290
2011,Tiruchirapalli / Trichy,209797
2012,Tiruchirapalli / Trichy,141537
2013,Tiruchirapalli / Trichy,132499
2014,Tiruchirapalli / Trichy,149569
2015,Tiruchirapalli / Trichy,166452
2016,Tiruchirapalli / Trichy,118900
2017,Tiruchirapalli / Trichy,119802
1966,Thanjavur,27394
1967,Thanjavur,31264
1968,Thanjavur,26712
1969,Thanjavur,36808
1970,Thanjavur,44456
1971,Thanjavur,47856
1972,Thanjavur,53808
1973,Thanjavur,55491
1974,Thanjavur,39692
1975,Thanjavur,51212
1976,Thanjavur,40157
1977,Thanjavur,67000
1978,Thanjavur,72443
1979,Thanjavur,129380
1980,Thanjavur,62207
1981,Thanjavur,73327
1982,Thanjavur,83999
1983,Thanjavur,78018
1984,Thanjavur,96097
1985,Thanjavur,96058
1986,Thanjavur,109529
1987,Thanjavur,98335
1988,Thanjavur,123222
1989,Thanjavur,123244
1990,Thanjavur,141125
1991,Thanjavur,133036
1992,Thanjavur,210511
1993,Thanjavur,119698
1994,Thanjavur,142197
1995,Thanjavur,128288
1996,Thanjavur,110944
1997,Thanjavur,128593
1998,Thanjavur,126796
1999,Thanjavur,154237
2000,Thanjavur,140071
2001,Thanjavur,145040
2002,Thanjavur,118006
2003,Thanjavur,101051
2004,Thanjavur,136136
2005,Thanjavur,162392
2006,Thanjavur,147490
2007,Thanjavur,137090
2008,Thanjavur,173417
2009,Thanjavur,175649
2010,Thanjavur,156869
2011,Thanjavur,177656
2012,Thanjavur,113717
2013,Thanjavur,146239
2014,Thanjavur,155004
2015,Thanjavur,164857
2016,Thanjavur,139625
2017,Thanjavur,126573
1966,Madurai,9605
1967,Madurai,12383
1968,Madurai,12464
1969,Madurai,12539
1970,Madurai,23786
1971,Madurai,22474
1972,Madurai,25114
1973,Madurai,26272
1974,Madurai,18773
1975,Madurai,24547
1976,Madurai,22751
1977,Madurai,38888
1978,Madurai,45562
1979,Madurai,51042
1980,Madurai,47840
1981,Madurai,53258
1982,Madurai,51556
1983,Madurai,57478
1984,Madurai,65466
1985,Madurai,59890
1986,Madurai,58783
1987,Madurai,60607
1988,Madurai,77113
1989,Madurai,85023
1990,Madurai,80442
1991,Madurai,84853
1992,Madurai,76017
1993,Madurai,76067
1994,Madurai,93350
1995,Madurai,83718
1996,Madurai,78813
1997,Madurai,93923
1998,Madurai,97805
1999,Madurai,110917
2000,Madurai,103469
2001,Madurai,80139
2002,Madurai,74561
2003,Madurai,66619
2004,Madurai,89574
2005,Madurai,103438
2006,Madurai,98291
2007,Madurai,90031
2008,Madurai,129073
2009,Madurai,118439
2010,Madurai,120590
2011,Madurai,125967
2012,Madurai,77659
2013,Madurai,69748
2014,Madurai,81677
2015,Madurai,91896
2016,Madurai,70156
2017,Madurai,63476
1966,Ramananthapuram,5930
1967,Ramananthapuram,5788
1968,Ramananthapuram,4076
1969,Ramananthapuram,10024
1970,Ramananthapuram,11210
1971,Ramananthapuram,9233
1972,Ramananthapuram,8556
1973,Ramananthapuram,10544
1974,Ramananthapuram,7561
1975,Ramananthapuram,8852
1976,Ramananthapuram,7885
1977,Ramananthapuram,15727
1978,Ramananthapuram,13745
1979,Ramananthapuram,19613
1980,Ramananthapuram,16062
1981,Ramananthapuram,26164
1982,Ramananthapuram,17926
1983,Ramananthapuram,26691
1984,Ramananthapuram,22306
1985,Ramananthapuram,25463
1986,Ramananthapuram,21739
1987,Ramananthapuram,27534
1988,Ramananthapuram,30961
1989,Ramananthapuram,27573
1990,Ramananthapuram,41204
1991,Ramananthapuram,51144
1992,Ramananthapuram,39849
1993,Ramananthapuram,39740
1994,Ramananthapuram,36660
1995,Ramananthapuram,30229
1996,Ramananthapuram,41303
1997,Ramananthapuram,40889
1998,Ramananthapuram,40513
1999,Ramananthapuram,40092
2000,Ramananthapuram,33595
2001,Ramananthapuram,35250
2002,Ramananthapuram,34043
2003,Ramananthapuram,26507
2004,Ramananthapuram,38720
2005,Ramananthapuram,44803
2006,Ramananthapuram,46069
2007,Ramananthapuram,32361
2008,Ramananthapuram,56027
2009,Ramananthapuram,48715
2010,Ramananthapuram,47081
2011,Ramananthapuram,46801
2012,Ramananthapuram,35660
2013,Ramananthapuram,21276
2014,Ramananthapuram,34807
2015,Ramananthapuram,47576
2016,Ramananthapuram,30186
2017,Ramananthapuram,50418
1966,Thirunelveli,9872
1967,Thirunelveli,10714
1968,Thirunelveli,10453
1969,Thirunelveli,13090
1970,Thirunelveli,17310
1971,Thirunelveli,17811
1972,Thirunelveli,20084
1973,Thirunelveli,20691
1974,Thirunelveli,14810
1975,Thirunelveli,16268
1976,Thirunelveli,18266
1977,Thirunelveli,26946
1978,Thirunelveli,26903
1979,Thirunelveli,32564
1980,Thirunelveli,29093
1981,Thirunelveli,34516
1982,Thirunelveli,43870
1983,Thirunelveli,37991
1984,Thirunelveli,39602
1985,Thirunelveli,54434
1986,Thirunelveli,42470
1987,Thirunelveli,42527
1988,Thirunelveli,51153
1989,Thirunelveli,51967
1990,Thirunelveli,55009
1991,Thirunelveli,55780
1992,Thirunelveli,54381
1993,Thirunelveli,50409
1994,Thirunelveli,47244
1995,Thirunelveli,44309
1996,Thirunelveli,34728
1997,Thirunelveli,48662
1998,Thirunelveli,55927
1999,Thirunelveli,55165
2000,Thirunelveli,51413
2001,Thirunelveli,44194
2002,Thirunelveli,45031
2003,Thirunelveli,39916
2004,Thirunelveli,59749
2005,Thirunelveli,69168
2006,Thirunelveli,72346
2007,Thirunelveli,64826
2008,Thirunelveli,85182
2009,Thirunelveli,77806
2010,Thirunelveli,68612
2011,Thirunelveli,70046
2012,Thirunelveli,48951
2013,Thirunelveli,41935
2014,Thirunelveli,55003
2015,Thirunelveli,66277
2016,Thirunelveli,56556
2017,Thirunelveli,45697
1966,The Nilgiris,1049
1967,The Nilgiris,2386
1968,The Nilgiris,1040
1969,The Nilgiris,5152
1970,The Nilgiris,6544
1971,The Nilgiris,2549
1972,The Nilgiris,2942
1973,The Nilgiris,3037
1974,The Nilgiris,2169
1975,The Nilgiris,1903
1976,The Nilgiris,1374
1977,The Nilgiris,3032
1978,The Nilgiris,4297
1979,The Nilgiris,3822
1980,The Nilgiris,2491
1981,The Nilgiris,3820
1982,The Nilgiris,5191
1983,The Nilgiris,8497
1984,The Nilgiris,21308
1985,The Nilgiris,15206
1986,The Nilgiris,16088
1987,The Nilgiris,13259
1988,The Nilgiris,11131
1989,The Nilgiris,10664
1990,The Nilgiris,10318
1991,The Nilgiris,8496
1992,The Nilgiris,6466
1993,The Nilgiris,8824
1994,The Nilgiris,9522
1995,The Nilgiris,9352
1996,The Nilgiris,8261
1997,The Nilgiris,12277
1998,The Nilgiris,11348
1999,The Nilgiris,13849
2000,The Nilgiris,9682
2001,The Nilgiris,12784
2002,The Nilgiris,10939
2003,The Nilgiris,9964
2004,The Nilgiris,8572
2005,The Nilgiris,9713
2006,The Nilgiris,9024
2007,The Nilgiris,8285
2008,The Nilgiris,10063
2009,The Nilgiris,10293
2010,The Nilgiris,8321
2011,The Nilgiris,8091
2012,The Nilgiris,5856
2013,The Nilgiris,6672
2014,The Nilgiris,5486
2015,The Nilgiris,5823
2016,The Nilgiris,7721
2017,The Nilgiris,8147
1966,Kanyakumari,2787
1967,Kanyakumari,2310
1968,Kanyakumari,2071
1969,Kanyakumari,2952
1970,Kanyakumari,6874
1971,Kanyakumari,4636
1972,Kanyakumari,5234
1973,Kanyakumari,5380
1974,Kanyakumari,3859
1975,Kanyakumari,3244
1976,Kanyakumari,2197
1977,Kanyakumari,3295
1978,Kanyakumari,4753
1979,Kanyakumari,4760
1980,Kanyakumari,5168
1981,Kanyakumari,5632
1982,Kanyakumari,9211
1983,Kanyakumari,7315
1984,Kanyakumari,7738
1985,Kanyakumari,8570
1986,Kanyakumari,7787
1987,Kanyakumari,9565
1988,Kanyakumari,11892
1989,Kanyakumari,12470
1990,Kanyakumari,14459
1991,Kanyakumari,16210
1992,Kanyakumari,14514
1993,Kanyakumari,14561
1994,Kanyakumari,14407
1995,Kanyakumari,13593
1996,Kanyakumari,11974
1997,Kanyakumari,13282
1998,Kanyakumari,14259
1999,Kanyakumari,15182
2000,Kanyakumari,13747
2001,Kanyakumari,14612
2002,Kanyakumari,12327
2003,Kanyakumari,11757
2004,Kanyakumari,14938
2005,Kanyakumari,16800
2006,Kanyakumari,12304
2007,Kanyakumari,8967
2008,Kanyakumari,12277
2009,Kanyakumari,14398
2010,Kanyakumari,14861
2011,Kanyakumari,17187
2012,Kanyakumari,8757
2013,Kanyakumari,11972
2014,Kanyakumari,13887
2015,Kanyakumari,14463
2016,Kanyakumari,16061
2017,Kanyakumari,15879
1966,Bombay,0
1967,Bombay,0
1968,Bombay,0
1969,Bombay,0
1970,Bombay,0
1971,Bombay,0
1972,Bombay,0
1973,Bombay,0
1974,Bombay,0
1975,Bombay,0
1976,Bombay,0
1977,Bombay,0
1978,Bombay,0
1979,Bombay,0
1980,Bombay,0
1981,Bombay,0
1982,Bombay,0
1983,Bombay,0
1984,Bombay,0
1985,Bombay,0
1986,Bombay,0
1987,Bombay,0
1988,Bombay,0
1989,Bombay,0
1990,Bombay,0
1991,Bombay,0
1992,Bombay,0
1993,Bombay,0
1994,Bombay,0
1995,Bombay,0
1996,Bombay,0
1997,Bombay,0
1998,Bombay,0
1999,Bombay,0
2000,Bombay,0
2001,Bombay,0
2002,Bombay,0
2003,Bombay,0
2004,Bombay,0
2005,Bombay,0
2006,Bombay,0
2007,Bombay,0
2008,Bombay,0
2011,Bombay,43970
1966,Thane,3067
1967,Thane,5433
1968,Thane,3811
1969,Thane,4111
1970,Thane,4680
1971,Thane,6703
1972,Thane,5040
1973,Thane,7691
1974,Thane,3892
1975,Thane,5462
1976,Thane,4279
1977,Thane,3901
1978,Thane,5509
1979,Thane,6233
1980,Thane,6245
1981,Thane,8011
1982,Thane,4100
1983,Thane,4966
1984,Thane,7953
1985,Thane,9995
1986,Thane,8486
1987,Thane,8712
1988,Thane,12661
1989,Thane,20648
1990,Thane,12451
1991,Thane,14726
1992,Thane,12851
1993,Thane,11769
1994,Thane,12211
1995,Thane,13312
1996,Thane,16320
1997,Thane,16918
1998,Thane,16955
1999,Thane,19377
2000,Thane,16909
2001,Thane,17572
2002,Thane,17746
2003,Thane,18907
2004,Thane,19324
2005,Thane,21448
2006,Thane,24534
2007,Thane,26066
2008,Thane,22023
2009,Thane,22992
2010,Thane,19965
2011,Thane,19373
2012,Thane,20851
2013,Thane,22539
2014,Thane,23535
2015,Thane,23314
2016,Thane,20941
2017,Thane,21193
1966,Raigad,3834
1967,Raigad,2793
1968,Raigad,3712
1969,Raigad,3993
1970,Raigad,6558
1971,Raigad,7432
1972,Raigad,3972
1973,Raigad,6401
1974,Raigad,3892
1975,Raigad,6307
1976,Raigad,6152
1977,Raigad,7383
1978,Raigad,8407
1979,Raigad,8063
1980,Raigad,8104
1981,Raigad,10450
1982,Raigad,5478
1983,Raigad,5411
1984,Raigad,7926
1985,Raigad,8392
1986,Raigad,8229
1987,Raigad,11053
1988,Raigad,12064
1989,Raigad,15339
1990,Raigad,13867
1991,Raigad,20266
1992,Raigad,11617
1993,Raigad,14625
1994,Raigad,10537
1995,Raigad,8771
1996,Raigad,14440
1997,Raigad,18915
1998,Raigad,17623
1999,Raigad,19769
2000,Raigad,15346
2001,Raigad,15201
2002,Raigad,14147
2003,Raigad,12734
2004,Raigad,13338
2005,Raigad,12882
2006,Raigad,14869
2007,Raigad,16628
2008,Raigad,14810
2009,Raigad,16697
2010,Raigad,16099
2011,Raigad,13689
2012,Raigad,14365
2013,Raigad,15875
2014,Raigad,16804
2015,Raigad,16120
2016,Raigad,15004
2017,Raigad,11409
1966,Ratnagiri,4211
1967,Ratnagiri,3454
1968,Ratnagiri,4185
1969,Ratnagiri,4485
1970,Ratnagiri,6020
1971,Ratnagiri,6737
1972,Ratnagiri,4418
1973,Ratnagiri,7009
1974,Ratnagiri,2983
1975,Ratnagiri,5658
1976,Ratnagiri,2959
1977,Ratnagiri,2638
1978,Ratnagiri,4644
1979,Ratnagiri,5375
1980,Ratnagiri,5622
1981,Ratnagiri,9599
1982,Ratnagiri,7003
1983,Ratnagiri,3615
1984,Ratnagiri,4431
1985,Ratnagiri,10662
1986,Ratnagiri,7228
1987,Ratnagiri,10736
1988,Ratnagiri,11930
1989,Ratnagiri,13011
1990,Ratnagiri,13717
1991,Ratnagiri,14655
1992,Ratnagiri,13242
1993,Ratnagiri,12911
1994,Ratnagiri,12968
1995,Ratnagiri,14059
1996,Ratnagiri,13713
1997,Ratnagiri,14120
1998,Ratnagiri,14388
1999,Ratnagiri,17242
2000,Ratnagiri,16293
2001,Ratnagiri,16536
2002,Ratnagiri,15296
2003,Ratnagiri,13745
2004,Ratnagiri,15306
2005,Ratnagiri,16710
2006,Ratnagiri,20110
2007,Ratnagiri,22676
2008,Ratnagiri,16773
2009,Ratnagiri,18653
2010,Ratnagiri,27993
2011,Ratnagiri,17182
2012,Ratnagiri,15490
2013,Ratnagiri,15247
2014,Ratnagiri,16036
2015,Ratnagiri,20530
2016,Ratnagiri,17233
2017,Ratnagiri,16712
1966,Nasik,5845
1967,Nasik,10291
1968,Nasik,6428
1969,Nasik,6768
1970,Nasik,8754
1971,Nasik,11361
1972,Nasik,9422
1973,Nasik,11916
1974,Nasik,8197
1975,Nasik,17735
1976,Nasik,21683
1977,Nasik,19929
1978,Nasik,20249
1979,Nasik,22605
1980,Nasik,28057
1981,Nasik,31743
1982,Nasik,21362
1983,Nasik,35230
1984,Nasik,42715
1985,Nasik,57701
1986,Nasik,39429
1987,Nasik,38866
1988,Nasik,48803
1989,Nasik,61826
1990,Nasik,69588
1991,Nasik,60039
1992,Nasik,71457
1993,Nasik,70648
1994,Nasik,81135
1995,Nasik,64496
1996,Nasik,74692
1997,Nasik,86249
1998,Nasik,101169
1999,Nasik,116301
2000,Nasik,99712
2001,Nasik,99119
2002,Nasik,97370
2003,Nasik,104506
2004,Nasik,122990
2005,Nasik,120739
2006,Nasik,135944
2007,Nasik,136993
