Year,District,ANNUAL RAINFALL (Millimeters)
1987,North Arcot / Vellore,851.8
1988,North Arcot / Vellore,968.8
1989,North Arcot / Vellore,744
1990,North Arcot / Vellore,895.1
1991,North Arcot / Vellore,1139.8
1992,North Arcot / Vellore,808.4
1993,North Arcot / Vellore,1148.9
1994,North Arcot / Vellore,867.8
1995,North Arcot / Vellore,1201.3
1996,North Arcot / Vellore,1546.3
1997,North Arcot / Vellore,1014.3
1998,North Arcot / Vellore,1000.9
1999,North Arcot / Vellore,555.9
2000,North Arcot / Vellore,746.6
2001,North Arcot / Vellore,723.8
2002,North Arcot / Vellore,584.1
2003,North Arcot / Vellore,890.3
2004,North Arcot / Vellore,904.3
2005,North Arcot / Vellore,4508
2006,North Arcot / Vellore,884.6
2007,North Arcot / Vellore,1145.9
2008,North Arcot / Vellore,857.9
2009,North Arcot / Vellore,1096.8
2010,North Arcot / Vellore,953.1
2011,North Arcot / Vellore,-1
2012,North Arcot / Vellore,809.9
2013,North Arcot / Vellore,792.6
2014,North Arcot / Vellore,685.7
2015,North Arcot / Vellore,1359.2
1966,Salem,1298.2
1967,Salem,899.8
1968,Salem,768.7
1969,Salem,902.3
1970,Salem,994.6
1971,Salem,987.3
1972,Salem,1279.8
1973,Salem,655.1
1974,Salem,692
1975,Salem,981.5
1976,Salem,672.3
1977,Salem,1141.5
1978,Salem,1042.9
1979,Salem,1040.2
1980,Salem,721
1981,Salem,1143.6
1982,Salem,718.3
1983,Salem,1107.2
1984,Salem,874.5
1985,Salem,917.8
1986,Salem,925.9
1987,Salem,1061.6
1988,Salem,873.8
1989,Salem,929.1
1990,Salem,570.9
1991,Salem,967.3
1992,Salem,792.5
1993,Salem,967.8
1994,Salem,794.3
1995,Salem,834.2
1996,Salem,963.8
1997,Salem,1019.2
1998,Salem,1083.3
1999,Salem,1070
2000,Salem,933.3
2001,Salem,748.5
2002,Salem,535.8
2003,Salem,976.5
2004,Salem,1003.9
2005,Salem,1216
2006,Salem,915.2
2007,Salem,952.8
2008,Salem,1107.4
2009,Salem,1020.4
2010,Salem,1239.3
2011,Salem,-1
2012,Salem,831.5
2013,Salem,830.9
2014,Salem,857.7
2015,Salem,1135.3
1966,Coimbatore,1145.1
1967,Coimbatore,872
1968,Coimbatore,1236.4
1969,Coimbatore,1107.2
1970,Coimbatore,986.2
1971,Coimbatore,1472.2
1972,Coimbatore,1078.4
1973,Coimbatore,1155.2
1974,Coimbatore,990.8
1975,Coimbatore,1347
1976,Coimbatore,885.8
1977,Coimbatore,1430.5
1978,Coimbatore,1409.5
1979,Coimbatore,2008.4
1980,Coimbatore,1598.6
1981,Coimbatore,1658.9
1982,Coimbatore,1030.1
1983,Coimbatore,1333.8
1984,Coimbatore,1505.1
1985,Coimbatore,1438
1986,Coimbatore,923.3
1987,Coimbatore,1089.6
1988,Coimbatore,1247
1989,Coimbatore,1184.2
1990,Coimbatore,594.5
1991,Coimbatore,466.6
1992,Coimbatore,681
1993,Coimbatore,690.3
1994,Coimbatore,719.2
1995,Coimbatore,388.8
1996,Coimbatore,730.4
1997,Coimbatore,905.7
1998,Coimbatore,668
1999,Coimbatore,772.3
2000,Coimbatore,685.1
2001,Coimbatore,606.5
2002,Coimbatore,448
2003,Coimbatore,615.5
2004,Coimbatore,712.2
2005,Coimbatore,1334.9
2006,Coimbatore,765.6
2007,Coimbatore,721.8
2008,Coimbatore,1223
2009,Coimbatore,847.9
2010,Coimbatore,856.2
2011,Coimbatore,-1
2012,Coimbatore,559.5
2013,Coimbatore,898.3
2014,Coimbatore,1221.9
2015,Coimbatore,992.8
1966,Tiruchirapalli / Trichy,1081.8
1967,Tiruchirapalli / Trichy,833.2
1968,Tiruchirapalli / Trichy,792.6
1969,Tiruchirapalli / Trichy,632.6
1970,Tiruchirapalli / Trichy,867
1971,Tiruchirapalli / Trichy,761.2
1972,Tiruchirapalli / Trichy,987.9
1973,Tiruchirapalli / Trichy,724.8
1974,Tiruchirapalli / Trichy,529.8
1975,Tiruchirapalli / Trichy,685.2
1976,Tiruchirapalli / Trichy,726.1
1977,Tiruchirapalli / Trichy,1119.3
1978,Tiruchirapalli / Trichy,836.6
1979,Tiruchirapalli / Trichy,1055.9
1980,Tiruchirapalli / Trichy,404
1981,Tiruchirapalli / Trichy,945.5
1982,Tiruchirapalli / Trichy,549.4
1983,Tiruchirapalli / Trichy,956.7
1984,Tiruchirapalli / Trichy,863.6
1985,Tiruchirapalli / Trichy,600.4
1986,Tiruchirapalli / Trichy,736.2
1987,Tiruchirapalli / Trichy,534.7
1988,Tiruchirapalli / Trichy,679.5
1989,Tiruchirapalli / Trichy,573.6
1990,Tiruchirapalli / Trichy,585.8
1991,Tiruchirapalli / Trichy,716.2
1992,Tiruchirapalli / Trichy,817.5
1993,Tiruchirapalli / Trichy,990.4
1994,Tiruchirapalli / Trichy,666.6
1995,Tiruchirapalli / Trichy,563.7
1996,Tiruchirapalli / Trichy,812.6
1997,Tiruchirapalli / Trichy,882.6
1998,Tiruchirapalli / Trichy,968.9
1999,Tiruchirapalli / Trichy,791.9
2000,Tiruchirapalli / Trichy,763.1
2001,Tiruchirapalli / Trichy,512.1
2002,Tiruchirapalli / Trichy,515.8
2003,Tiruchirapalli / Trichy,910.9
2004,Tiruchirapalli / Trichy,1003.5
2005,Tiruchirapalli / Trichy,1345.4
2006,Tiruchirapalli / Trichy,760.5
2007,Tiruchirapalli / Trichy,881.1
2008,Tiruchirapalli / Trichy,1058.8
2009,Tiruchirapalli / Trichy,675.8
2010,Tiruchirapalli / Trichy,962.7
2011,Tiruchirapalli / Trichy,-1
2012,Tiruchirapalli / Trichy,419.8
2013,Tiruchirapalli / Trichy,522.9
2014,Tiruchirapalli / Trichy,535.9
2015,Tiruchirapalli / Trichy,864.4
1966,Thanjavur,1507.3
1967,Thanjavur,1228.6
1968,Thanjavur,934.5
1969,Thanjavur,934.1
1970,Thanjavur,1290.5
1971,Thanjavur,1312.4
1972,Thanjavur,1195.8
1973,Thanjavur,909.6
1974,Thanjavur,725.9
1975,Thanjavur,1192.8
1976,Thanjavur,1094
1977,Thanjavur,1386.7
1978,Thanjavur,1177.4
1979,Thanjavur,1173.4
1980,Thanjavur,507.4
1981,Thanjavur,1194
1982,Thanjavur,610.4
1983,Thanjavur,1288.6
1984,Thanjavur,1149.5
1985,Thanjavur,1040.4
1986,Thanjavur,1089.2
1987,Thanjavur,941.5
1988,Thanjavur,753.7
1989,Thanjavur,777.3
1990,Thanjavur,1065.1
1991,Thanjavur,1078.3
1992,Thanjavur,1009.4
1993,Thanjavur,1510
1994,Thanjavur,795.3
1995,Thanjavur,783.6
1996,Thanjavur,1337.2
1997,Thanjavur,1427.8
1998,Thanjavur,1089.1
1999,Thanjavur,824.1
2000,Thanjavur,1074
2001,Thanjavur,852
2002,Thanjavur,926.2
2003,Thanjavur,893.8
2004,Thanjavur,1309.3
2005,Thanjavur,1464.2
2006,Thanjavur,841.7
2007,Thanjavur,1067.6
2008,Thanjavur,1448.8
2009,Thanjavur,1296.7
2010,Thanjavur,1373.8
2011,Thanjavur,-1
2012,Thanjavur,685.5
2013,Thanjavur,715.7
2014,Thanjavur,910.6
2015,Thanjavur,1103.8
1966,Madurai,1080.1
1967,Madurai,751
1968,Madurai,721
1969,Madurai,662.9
1970,Madurai,1009.3
1971,Madurai,1101.2
1972,Madurai,941.5
1973,Madurai,829.4
1974,Madurai,464
1975,Madurai,745.9
1976,Madurai,771.8
1977,Madurai,1234.5
1978,Madurai,759.3
1979,Madurai,976.5
1980,Madurai,571.9
1981,Madurai,1052.6
1982,Madurai,608.6
1983,Madurai,814.8
1984,Madurai,756.2
1985,Madurai,652.1
1986,Madurai,693.7
1987,Madurai,594
1988,Madurai,755.1
1989,Madurai,903.8
1990,Madurai,878.7
1991,Madurai,785.3
1992,Madurai,945.2
1993,Madurai,1044.3
1994,Madurai,778.7
1995,Madurai,754.5
1996,Madurai,925.6
1997,Madurai,1187.8
1998,Madurai,1035.9
1999,Madurai,682.4
2000,Madurai,752.9
2001,Madurai,546.7
2002,Madurai,658.4
2003,Madurai,816.6
2004,Madurai,912.4
2005,Madurai,1258.3
2006,Madurai,814.7
2007,Madurai,766.6
2008,Madurai,998.2
2009,Madurai,834.2
2010,Madurai,1225.9
2011,Madurai,-1
2012,Madurai,548.4
2013,Madurai,610.2
2014,Madurai,744.2
2015,Madurai,1002.5
1966,Ramananthapuram,1024.8
1967,Ramananthapuram,1142.3
1968,Ramananthapuram,757.6
1969,Ramananthapuram,918.9
1970,Ramananthapuram,624.2
1971,Ramananthapuram,925.5
1972,Ramananthapuram,1008.8
1973,Ramananthapuram,724.4
1974,Ramananthapuram,407.2
1975,Ramananthapuram,625.2
1976,Ramananthapuram,520
1977,Ramananthapuram,1142.1
1978,Ramananthapuram,774.7
1979,Ramananthapuram,855.7
1980,Ramananthapuram,533.7
1981,Ramananthapuram,891.8
1982,Ramananthapuram,709.9
1983,Ramananthapuram,776.3
1984,Ramananthapuram,1003.7
1985,Ramananthapuram,882.7
1986,Ramananthapuram,667.4
1987,Ramananthapuram,922.1
1988,Ramananthapuram,589.8
1989,Ramananthapuram,792.6
1990,Ramananthapuram,922.9
1991,Ramananthapuram,677.4
1992,Ramananthapuram,742.8
1993,Ramananthapuram,1050.1
1994,Ramananthapuram,662.2
1995,Ramananthapuram,518.6
1996,Ramananthapuram,859.1
1997,Ramananthapuram,1144.3
1998,Ramananthapuram,970.7
1999,Ramananthapuram,619.2
2000,Ramananthapuram,951.4
2001,Ramananthapuram,806.9
2002,Ramananthapuram,871.9
2003,Ramananthapuram,709.2
2004,Ramananthapuram,1116.7
2005,Ramananthapuram,1274.8
2006,Ramananthapuram,1634.5
2007,Ramananthapuram,787.8
2008,Ramananthapuram,1477.9
2009,Ramananthapuram,565.6
2010,Ramananthapuram,1104.6
2011,Ramananthapuram,-1
2012,Ramananthapuram,536.5
2013,Ramananthapuram,579.9
2014,Ramananthapuram,935.7
2015,Ramananthapuram,1018.9
1966,Thirunelveli,730.1
1967,Thirunelveli,728.7
1968,Thirunelveli,758.8
1969,Thirunelveli,774.3
1970,Thirunelveli,724.2
1971,Thirunelveli,984.9
1972,Thirunelveli,919.1
1973,Thirunelveli,903.4
1974,Thirunelveli,557.9
1975,Thirunelveli,493.2
1976,Thirunelveli,645.5
1977,Thirunelveli,1198.2
1978,Thirunelveli,810.5
1979,Thirunelveli,1256
1980,Thirunelveli,721.6
1981,Thirunelveli,646.3
1982,Thirunelveli,702.3
1983,Thirunelveli,584.5
1984,Thirunelveli,990.2
1985,Thirunelveli,800.8
1986,Thirunelveli,561.5
1987,Thirunelveli,452.3
1988,Thirunelveli,714.5
1989,Thirunelveli,734.7
1990,Thirunelveli,882.7
1991,Thirunelveli,886.3
1992,Thirunelveli,1090
1993,Thirunelveli,1058
1994,Thirunelveli,1043.3
1995,Thirunelveli,823.6
1996,Thirunelveli,765.7
1997,Thirunelveli,1192.5
1998,Thirunelveli,799.1
1999,Thirunelveli,704.6
2000,Thirunelveli,702.2
2001,Thirunelveli,714.4
2002,Thirunelveli,805.7
2003,Thirunelveli,960.3
2004,Thirunelveli,1044.8
2005,Thirunelveli,1022.6
2006,Thirunelveli,1177
2007,Thirunelveli,840.3
2008,Thirunelveli,1286.7
2009,Thirunelveli,677.1
2010,Thirunelveli,835.1
2011,Thirunelveli,-1
2012,Thirunelveli,724.1
2013,Thirunelveli,918.4
2014,Thirunelveli,1350.8
2015,Thirunelveli,1547.7
1966,The Nilgiris,2152.4
1967,The Nilgiris,1516.5
1968,The Nilgiris,1723.6
1969,The Nilgiris,1830.2
1970,The Nilgiris,1636.3
1971,The Nilgiris,1644.7
1972,The Nilgiris,1637.3
1973,The Nilgiris,1487.2
1974,The Nilgiris,1450.9
1975,The Nilgiris,1908.8
1976,The Nilgiris,1488.5
1977,The Nilgiris,2079.9
1978,The Nilgiris,2020.6
1979,The Nilgiris,2005.8
1980,The Nilgiris,1526.8
1981,The Nilgiris,1863.6
1982,The Nilgiris,1379.3
1983,The Nilgiris,1619.5
1984,The Nilgiris,2171.8
1985,The Nilgiris,1466.6
1986,The Nilgiris,1527
1987,The Nilgiris,1530.4
1988,The Nilgiris,1379
1989,The Nilgiris,1346.1
1990,The Nilgiris,1401.2
1991,The Nilgiris,1617.7
1992,The Nilgiris,1972.9
1993,The Nilgiris,1725.6
1994,The Nilgiris,1798.1
1995,The Nilgiris,1382.5
1996,The Nilgiris,1532
1997,The Nilgiris,1509.4
1998,The Nilgiris,1550.4
1999,The Nilgiris,1587.7
2000,The Nilgiris,1170.3
2001,The Nilgiris,1108.2
2002,The Nilgiris,999.7
2003,The Nilgiris,1271.7
2004,The Nilgiris,1985.5
2005,The Nilgiris,2401.3
2006,The Nilgiris,1658.5
2007,The Nilgiris,1872.8
2008,The Nilgiris,2216.6
2009,The Nilgiris,1044.4
2010,The Nilgiris,1889.1
2011,The Nilgiris,-1
2012,The Nilgiris,1467.6
2013,The Nilgiris,1534.2
2014,The Nilgiris,1957.1
2015,The Nilgiris,1720.7
1966,Kanyakumari,1222.9
1967,Kanyakumari,1326.5
1968,Kanyakumari,1376.3
1969,Kanyakumari,1242.3
1970,Kanyakumari,1423.5
1971,Kanyakumari,1475.1
1972,Kanyakumari,1515.9
1973,Kanyakumari,1301.5
1974,Kanyakumari,1261.1
1975,Kanyakumari,1496.5
1976,Kanyakumari,1091.4
1977,Kanyakumari,1681
1978,Kanyakumari,1377.4
1979,Kanyakumari,1434.7
1980,Kanyakumari,1162.9
1981,Kanyakumari,1623.1
1982,Kanyakumari,1096.7
1983,Kanyakumari,1036.4
1984,Kanyakumari,1216.5
1985,Kanyakumari,1108.7
1986,Kanyakumari,868.2
1987,Kanyakumari,1623.4
1988,Kanyakumari,1334.4
1989,Kanyakumari,1173.6
2012,Kanyakumari,810.8
2013,Kanyakumari,1201.4
2014,Kanyakumari,1316.2
2015,Kanyakumari,1814.1
1990,Bombay,1828.7
1991,Bombay,-1
1992,Bombay,-1
1993,Bombay,2932.6
1994,Bombay,-1
1995,Bombay,-1
1996,Bombay,-1
1997,Bombay,-1
1998,Bombay,-1
1999,Bombay,-1
2000,Bombay,3430.7
2001,Bombay,-1
2002,Bombay,-1
2003,Bombay,-1
2004,Bombay,2227.1
2005,Bombay,2769.6
2006,Bombay,2806.2
2007,Bombay,2509
2008,Bombay,2532.8
2009,Bombay,2058.1
2012,Bombay,1808.8
2013,Bombay,2480.8
2014,Bombay,2277.2
2015,Bombay,1783.1
1966,Thane,2139.3
1967,Thane,2508.6
1968,Thane,1980.6
1969,Thane,2704.3
1970,Thane,2922.2
1971,Thane,2612.3
1972,Thane,1540
1973,Thane,2377
1974,Thane,1982.5
1975,Thane,2840.5
1976,Thane,3184.5
1977,Thane,2386.4
1978,Thane,1703.3
1979,Thane,2170.8
1980,Thane,2208.3
1981,Thane,2513
1982,Thane,1891.1
1983,Thane,2899.5
1984,Thane,2038.1
1985,Thane,1930.8
1986,Thane,1715.7
1987,Thane,1704.2
1988,Thane,2622.3
1989,Thane,1879
1990,Thane,2634.2
1991,Thane,1999.7
1992,Thane,2121.2
1993,Thane,2393.1
1994,Thane,2761.2
1995,Thane,1781.9
1996,Thane,2159.7
1997,Thane,3654.8
1998,Thane,2695.5
1999,Thane,1932.2
2000,Thane,2448.3
2001,Thane,2356.1
2002,Thane,2293.7
2003,Thane,2583.9
2004,Thane,2929.8
2005,Thane,3563.1
2006,Thane,3139.3
2007,Thane,2594.7
2008,Thane,2781.4
2009,Thane,1990.2
2012,Thane,2192.9
2013,Thane,3026.5
2014,Thane,2472.3
2015,Thane,1827.9
1966,Raigad,2824.5
1967,Raigad,3047.2
1968,Raigad,2807.8
1969,Raigad,3343.7
1970,Raigad,4010
1971,Raigad,3058.5
1972,Raigad,2019.8
1973,Raigad,3255.4
1974,Raigad,3133.9
1975,Raigad,3762.7
1976,Raigad,3504.6
1977,Raigad,3466.3
1978,Raigad,3128.1
1979,Raigad,2877.3
1980,Raigad,3121
1981,Raigad,3243.9
1982,Raigad,2625.3
1983,Raigad,4182.4
1984,Raigad,2965.6
1985,Raigad,3144.5
1986,Raigad,2368.3
1987,Raigad,2784.4
1988,Raigad,3538.8
1989,Raigad,3220.9
1990,Raigad,4306
1991,Raigad,3460.3
1992,Raigad,2890
1993,Raigad,3888.1
1994,Raigad,3258.7
1995,Raigad,2532
1996,Raigad,2924
1997,Raigad,3397.3
1998,Raigad,3313.6
1999,Raigad,3257.6
2000,Raigad,3362
2001,Raigad,2338.9
2002,Raigad,2197.2
2003,Raigad,2999.6
2004,Raigad,3228.4
2005,Raigad,3975.7
2006,Raigad,3831.9
2007,Raigad,3757.1
2008,Raigad,3323.2
2009,Raigad,2256.5
2012,Raigad,3071.3
2013,Raigad,3802.7
2014,Raigad,2957.5
2015,Raigad,2244.4
1966,Ratnagiri,2143.9
1967,Ratnagiri,2842.9
1968,Ratnagiri,2270
1969,Ratnagiri,3492.2
1970,Ratnagiri,3784.2
1971,Ratnagiri,2676.3
1972,Ratnagiri,2084.3
1973,Ratnagiri,3077.4
1974,Ratnagiri,3767
1975,Ratnagiri,3708.1
1976,Ratnagiri,3176.5
1977,Ratnagiri,3431.7
1978,Ratnagiri,3659.9
1979,Ratnagiri,2823.1
1980,Ratnagiri,3040
1981,Ratnagiri,3395.5
1982,Ratnagiri,3049.4
1983,Ratnagiri,4413.4
1984,Ratnagiri,2915.7
1985,Ratnagiri,3842.8
1986,Ratnagiri,2451.3
1987,Ratnagiri,3251.7
1988,Ratnagiri,3811.4
1989,Ratnagiri,3318.1
1990,Ratnagiri,4097.1
1991,Ratnagiri,3558
1992,Ratnagiri,3296.1
1993,Ratnagiri,4396
1994,Ratnagiri,3696.8
1995,Ratnagiri,3453.7
1996,Ratnagiri,3298.2
1997,Ratnagiri,3089.3
1998,Ratnagiri,3723.9
1999,Ratnagiri,3309.6
2000,Ratnagiri,3529.4
2001,Ratnagiri,2808.3
2002,Ratnagiri,2883.4
2003,Ratnagiri,3080.9
2004,Ratnagiri,3103.1
2005,Ratnagiri,3634.6
2006,Ratnagiri,3698.7
2007,Ratnagiri,4076.2
2008,Ratnagiri,2991.2
2009,Ratnagiri,2874.4
2012,Ratnagiri,3720.7
2013,Ratnagiri,4357.4
2014,Ratnagiri,3034.5
2015,Ratnagiri,2354
1966,Nasik,877.2
1967,Nasik,1077.9
1968,Nasik,1034
1969,Nasik,1162.6
1970,Nasik,1098
1971,Nasik,795.2
1972,Nasik,563.7
1973,Nasik,978.9
1974,Nasik,779.8
1975,Nasik,725.4
1976,Nasik,1205.9
1977,Nasik,917.9
1978,Nasik,837.6
1979,Nasik,1024.7
1980,Nasik,941.9
1981,Nasik,1081.9
1982,Nasik,716.8
1983,Nasik,911.7
1984,Nasik,804.4
1985,Nasik,715.9
1986,Nasik,699.9
1987,Nasik,820.5
1988,Nasik,1075.2
1989,Nasik,526.7
1990,Nasik,1168.6
1991,Nasik,867.2
1992,Nasik,828
1993,Nasik,1109.8
1994,Nasik,1284.7
1995,Nasik,815.5
1996,Nasik,1015.2
1997,Nasik,831.6
1998,Nasik,1162.6
1999,Nasik,1080.1
2000,Nasik,763.2
2001,Nasik,892.8
2002,Nasik,917.3
2003,Nasik,1095.9
2004,Nasik,1364.5
2005,Nasik,1490.7
2006,Nasik,1573.9
2007,Nasik,1195.7
2008,Nasik,1184.1
2009,Nasik,742.9
2012,Nasik,950.6
2013,Nasik,1211.6
2014,Nasik,1073.5
2015,Nasik,838.7
1966,Dhule,503.8
1967,Dhule,846.6
1968,Dhule,618.9
1969,Dhule,815
1970,Dhule,784
1971,Dhule,509.4
1972,Dhule,350.9
1973,Dhule,716.5
1974,Dhule,523.2
1975,Dhule,528.6
1976,Dhule,984.4
1977,Dhule,557.6
1978,Dhule,500.2
1979,Dhule,636.4
1980,Dhule,619
1981,Dhule,720.9
1982,Dhule,572.4
1983,Dhule,735.3
1984,Dhule,470.5
1985,Dhule,489.8
1986,Dhule,330.7
1987,Dhule,594.5
1988,Dhule,677.3
1989,Dhule,601.1
1990,Dhule,832.8
1991,Dhule,571.5
1992,Dhule,724.4
1993,Dhule,797.8
1994,Dhule,904.8
1995,Dhule,619.6
1996,Dhule,738.5
1997,Dhule,573
1998,Dhule,1021.1
1999,Dhule,573.7
2000,Dhule,372.2
2001,Dhule,536.4
2002,Dhule,513.7
2003,Dhule,847.6
2004,Dhule,793.5
2005,Dhule,558.3
2006,Dhule,942.5
2007,Dhule,598.1
2008,Dhule,472.1
2009,Dhule,565.7
2012,Dhule,404.3
2013,Dhule,921.1
2014,Dhule,621.3
2015,Dhule,540.7
1966,Jalgaon,668.7
1967,Jalgaon,654.4
1968,Jalgaon,754.2
1969,Jalgaon,950
1970,Jalgaon,992.4
1971,Jalgaon,427.9
1972,Jalgaon,503.9
1973,Jalgaon,816.5
1974,Jalgaon,642.7
1975,Jalgaon,843.4
1976,Jalgaon,802.1
1977,Jalgaon,754.7
1978,Jalgaon,646.5
1979,Jalgaon,842.8
1980,Jalgaon,661
1981,Jalgaon,772.2
1982,Jalgaon,534.1
1983,Jalgaon,799.3
1984,Jalgaon,556.8
1985,Jalgaon,538
1986,Jalgaon,557.6
1987,Jalgaon,762.2
1988,Jalgaon,860.3
1989,Jalgaon,821.3
1990,Jalgaon,1008.8
1991,Jalgaon,559.5
1992,Jalgaon,742.1
1993,Jalgaon,690.1
1994,Jalgaon,660.3
1995,Jalgaon,615.4
1996,Jalgaon,676.8
1997,Jalgaon,934.1
1998,Jalgaon,1062.1
1999,Jalgaon,604.7
2000,Jalgaon,496.4
2001,Jalgaon,653.5
2002,Jalgaon,769.3
2003,Jalgaon,934.6
2004,Jalgaon,647.5
2005,Jalgaon,541
2006,Jalgaon,1239.3
2007,Jalgaon,595.4
2008,Jalgaon,547.3
2009,Jalgaon,594.7
2012,Jalgaon,408.1
2013,Jalgaon,929.4
2014,Jalgaon,749.1
2015,Jalgaon,494.7
1966,Ahmednagar,562.7
1967,Ahmednagar,555.5
1968,Ahmednagar,493
1969,Ahmednagar,684.6
1970,Ahmednagar,490.6
1971,Ahmednagar,450.2
1972,Ahmednagar,213.9
1973,Ahmednagar,582.9
1974,Ahmednagar,678
1975,Ahmednagar,656.3
1976,Ahmednagar,506
1977,Ahmednagar,512.5
1978,Ahmednagar,434.4
1979,Ahmednagar,694.6
1980,Ahmednagar,580.4
1981,Ahmednagar,566.6
1982,Ahmednagar,416.6
1983,Ahmednagar,674.9
1984,Ahmednagar,446
1985,Ahmednagar,400.8
1986,Ahmednagar,371.6
1987,Ahmednagar,476.5
1988,Ahmednagar,679.5
1989,Ahmednagar,652.6
1990,Ahmednagar,712.4
1991,Ahmednagar,373.7
1992,Ahmednagar,416.1
1993,Ahmednagar,670.9
1994,Ahmednagar,342.4
1995,Ahmednagar,472.8
1996,Ahmednagar,643.3
1997,Ahmednagar,577
1998,Ahmednagar,827.4
1999,Ahmednagar,595.6
2000,Ahmednagar,566.1
2001,Ahmednagar,525.4
2002,Ahmednagar,430
2003,Ahmednagar,334.6
2004,Ahmednagar,678.3
2005,Ahmednagar,641.5
2006,Ahmednagar,771.8
2007,Ahmednagar,591.2
2008,Ahmednagar,648.9
2009,Ahmednagar,521.3
2012,Ahmednagar,394.1
2013,Ahmednagar,601.2
2014,Ahmednagar,500.5
2015,Ahmednagar,473.2
1966,Pune,886.9
1967,Pune,1080.5
1968,Pune,965.3
1969,Pune,1005.8
1970,Pune,973.5
1971,Pune,1283.7
1972,Pune,843.3
1973,Pune,1336
1974,Pune,1219.2
1975,Pune,1328.2
1976,Pune,1460.4
1977,Pune,1314.3
1978,Pune,1091.4
1979,Pune,1486.2
1980,Pune,1368.1
1981,Pune,931.7
1982,Pune,911
1983,Pune,1028.6
1984,Pune,1045.8
1985,Pune,544.1
1986,Pune,623.5
1987,Pune,777.4
1988,Pune,1074.6
1989,Pune,976.2
1990,Pune,1426.7
1991,Pune,1063.6
1992,Pune,841.6
1993,Pune,1108.8
1994,Pune,1166
1995,Pune,758.4
1996,Pune,1298.7
1997,Pune,979.2
1998,Pune,1167.2
1999,Pune,909.4
2000,Pune,634.5
2001,Pune,780.8
2002,Pune,662.4
2003,Pune,541.4
2004,Pune,972.5
2005,Pune,1233.7
2006,Pune,1183.1
2007,Pune,910.5
2008,Pune,810
2009,Pune,795.3
2012,Pune,690.6
2013,Pune,1106.4
2014,Pune,1007.3
2015,Pune,803.9
1966,Satara,1373.3
1967,Satara,1109.1
1968,Satara,1110
1969,Satara,1148.4
1970,Satara,1117.2
1971,Satara,1020.3
1972,Satara,644.7
1973,Satara,1465
1974,Satara,1144
1975,Satara,1323.2
1976,Satara,1250.6
1977,Satara,1290.8
1978,Satara,1195.2
1979,Satara,1353.3
1980,Satara,1420.6
1981,Satara,1139.6
1982,Satara,1130.5
1983,Satara,1320.3
1984,Satara,1253.4
1985,Satara,1187.5
1986,Satara,1186.2
1987,Satara,1352.3
1988,Satara,1249.9
1989,Satara,1070.3
1990,Satara,1427.7
1991,Satara,1167.1
1992,Satara,1114.3
1993,Satara,1575.4
1994,Satara,1785.4
1995,Satara,1220.3
1996,Satara,1600.3
1997,Satara,1213
1998,Satara,1479.2
1999,Satara,1332.2
2000,Satara,966.1
2001,Satara,1052.8
2002,Satara,1003.6
2003,Satara,836.1
2004,Satara,1387.8
2005,Satara,1530.3
2006,Satara,1362.1
2007,Satara,1142.5
2008,Satara,862.1
2009,Satara,1186
2012,Satara,818.2
2013,Satara,925.6
2014,Satara,1002.6
2015,Satara,649.3
1966,Sangli,902.3
1967,Sangli,806.8
1968,Sangli,589.4
1969,Sangli,800.3
1970,Sangli,741.6
1971,Sangli,610.6
1972,Sangli,370.7
1973,Sangli,702.2
1974,Sangli,781.6
1975,Sangli,1122.3
1976,Sangli,692
1977,Sangli,795.5
1978,Sangli,752
1979,Sangli,933
1980,Sangli,701.3
1981,Sangli,822.2
1982,Sangli,599.9
1983,Sangli,466.2
1984,Sangli,450.9
1985,Sangli,416.8
1986,Sangli,426.6
1987,Sangli,687.3
1988,Sangli,715.9
1989,Sangli,489.4
1990,Sangli,681
1991,Sangli,842.1
1992,Sangli,464.2
1993,Sangli,863.7
1994,Sangli,750.8
1995,Sangli,746.4
1996,Sangli,824.8
1997,Sangli,674.4
1998,Sangli,745.6
1999,Sangli,649.1
2000,Sangli,509.8
2001,Sangli,575.4
2002,Sangli,372.3
2003,Sangli,288.5
2004,Sangli,620.9
2005,Sangli,1065.6
2006,Sangli,875.2
2007,Sangli,775.2
2008,Sangli,726
2009,Sangli,692.4
2012,Sangli,470.4
2013,Sangli,625.7
2014,Sangli,772.4
2015,Sangli,480.8
1966,Solapur,578.4
1967,Solapur,585.3
1968,Solapur,543.9
1969,Solapur,716.6
1970,Solapur,677
1971,Solapur,598.5
1972,Solapur,234.2
1973,Solapur,709.9
1974,Solapur,906.3
1975,Solapur,997.9
1976,Solapur,524.1
1977,Solapur,582.2
1978,Solapur,817.3
1979,Solapur,741.6
1980,Solapur,551.8
1981,Solapur,825.4
1982,Solapur,520.5
1983,Solapur,767.1
1984,Solapur,581.2
1985,Solapur,434.6
1986,Solapur,470.4
1987,Solapur,773.2
1988,Solapur,824.1
1989,Solapur,741
1990,Solapur,823.2
1991,Solapur,732
1992,Solapur,470.7
1993,Solapur,852.4
1994,Solapur,398.8
1995,Solapur,654.3
1996,Solapur,781.2
1997,Solapur,713
1998,Solapur,1167.6
1999,Solapur,599.2
2000,Solapur,639.9
2001,Solapur,544.6
2002,Solapur,555.4
2003,Solapur,281.1
2004,Solapur,565.9
2005,Solapur,635.8
2006,Solapur,542.6
2007,Solapur,653
2008,Solapur,672.5
2009,Solapur,671.1
2012,Solapur,454.6
